time	I(C1)
8.244971338061096e-08	8.894108e-02
8.263130413858946e-08	8.574065e-02
8.282661663858947e-08	8.109702e-02
8.302192913858947e-08	7.525675e-02
8.321724163858948e-08	6.828453e-02
8.341255413858948e-08	6.028523e-02
8.360786663858949e-08	5.137916e-02
8.380317913858949e-08	4.170030e-02
8.399849163858950e-08	3.139422e-02
8.419380413858950e-08	2.061594e-02
8.438911663858951e-08	9.527566e-03
8.458442913858951e-08	-1.704108e-03
8.477974163858952e-08	-1.291015e-02
8.497505413858952e-08	-2.392200e-02
8.517036663858953e-08	-3.457404e-02
8.536567913858953e-08	-4.470605e-02
8.556099163858954e-08	-5.416562e-02
8.575630413858954e-08	-6.281048e-02
8.595161663858955e-08	-7.051060e-02
8.614692913858955e-08	-7.715017e-02
8.634224163858955e-08	-8.262930e-02
8.653755413858956e-08	-8.686560e-02
8.673286663858956e-08	-8.979534e-02
8.692817913858957e-08	-9.137446e-02
8.712349163858957e-08	-9.157921e-02
8.731880413858958e-08	-9.046949e-02
8.747767376790664e-08	-8.855285e-02
8.764170129317515e-08	-8.555271e-02
8.783701379317515e-08	-8.081183e-02
8.803232629317516e-08	-7.490806e-02
8.822763879317516e-08	-6.787763e-02
8.842295129317517e-08	-5.982628e-02
8.861826379317517e-08	-5.087510e-02
8.881357629317518e-08	-4.115874e-02
8.900888879317518e-08	-3.082332e-02
8.920420129317519e-08	-2.002430e-02
8.939951379317519e-08	-8.924111e-03
8.959482629317520e-08	2.310301e-03
8.979013879317520e-08	1.350996e-02
8.998545129317521e-08	2.450641e-02
9.018076379317521e-08	3.513427e-02
9.037607629317521e-08	4.523368e-02
9.057138879317522e-08	5.465274e-02
9.076670129317522e-08	6.324977e-02
9.096201379317523e-08	7.089549e-02
9.115732629317523e-08	7.747488e-02
9.135263879317524e-08	8.288898e-02
9.154795129317524e-08	8.705638e-02
9.174326379317525e-08	8.991437e-02
9.193857629317525e-08	9.141999e-02
9.213388879317526e-08	9.155059e-02
9.232920129317526e-08	9.035578e-02
9.249460315468903e-08	8.829521e-02
9.264799408610691e-08	8.543649e-02
9.284330658610691e-08	8.063697e-02
9.303861908610692e-08	7.469495e-02
9.323393158610692e-08	6.762949e-02
9.342924408610693e-08	5.954686e-02
9.362455658610693e-08	5.056863e-02
9.381986908610694e-08	4.082983e-02
9.401518158610694e-08	3.047694e-02
9.421049408610695e-08	1.966567e-02
9.440580658610695e-08	8.558617e-03
9.460111908610696e-08	-2.677152e-03
9.479643158610696e-08	-1.387265e-02
9.499174408610697e-08	-2.485950e-02
9.518705658610697e-08	-3.547244e-02
9.538236908610698e-08	-4.555186e-02
9.557768158610698e-08	-5.494615e-02
9.577299408610699e-08	-6.351402e-02
9.596830658610699e-08	-7.112662e-02
9.616361908610699e-08	-7.766943e-02
9.635893158610700e-08	-8.304404e-02
9.655424408610700e-08	-8.716964e-02
9.674955658610701e-08	-8.998415e-02
9.694486908610701e-08	-9.144525e-02
9.714018158610702e-08	-9.153097e-02
9.733549408610702e-08	-9.028472e-02
9.750484922634733e-08	-8.812577e-02
9.765789608040683e-08	-8.522578e-02
9.785320858040684e-08	-8.036223e-02
9.804852108040684e-08	-7.436074e-02
9.824383358040685e-08	-6.724084e-02
9.843914608040685e-08	-5.910964e-02
9.863445858040686e-08	-5.008941e-02
9.882977108040686e-08	-4.031583e-02
9.902508358040687e-08	-2.993589e-02
9.922039608040687e-08	-1.910572e-02
9.941570858040688e-08	-7.988187e-03
9.961102108040688e-08	3.249486e-03
9.980633358040688e-08	1.443828e-02
1.000016460804069e-07	2.540992e-02
1.001969585804069e-07	3.599939e-02
1.003922710804069e-07	4.604741e-02
1.005875835804069e-07	5.540286e-02
1.007828960804069e-07	6.392504e-02
1.009782085804069e-07	7.148575e-02
1.011735210804069e-07	7.797129e-02
1.013688335804069e-07	8.328411e-02
1.015641460804069e-07	8.734430e-02
1.017594585804069e-07	9.009080e-02
1.019547710804069e-07	9.148230e-02
1.021500835804069e-07	9.149786e-02
1.023453960804069e-07	9.017118e-02
1.025209712469418e-07	8.783724e-02
1.026841474887158e-07	8.463681e-02
1.028794599887158e-07	7.962340e-02
1.030747724887158e-07	7.346597e-02
1.032700849887158e-07	6.620359e-02
1.034653974887158e-07	5.794550e-02
1.036607099887159e-07	4.881591e-02
1.038560224887159e-07	3.895210e-02
1.040513349887159e-07	2.850245e-02
1.042466474887159e-07	1.762412e-02
1.044419599887159e-07	6.480714e-03
1.046372724887159e-07	-4.760163e-03
1.048325849887159e-07	-1.592945e-02
1.050278974887159e-07	-2.685915e-02
1.052232099887159e-07	-3.738488e-02
1.054185224887159e-07	-4.734833e-02
1.056138349887159e-07	-5.659965e-02
1.058091474887159e-07	-6.499969e-02
1.060044599887159e-07	-7.242212e-02
1.061997724887159e-07	-7.875529e-02
1.063950849887159e-07	-8.390395e-02
1.065903974887159e-07	-8.779065e-02
1.067857099887159e-07	-9.035696e-02
1.069810224887159e-07	-9.156427e-02
1.071763349887159e-07	-9.139440e-02
1.073716474887159e-07	-8.984993e-02
1.075669599887159e-07	-8.695940e-02
1.077590197797498e-07	-8.283591e-02
1.079543322797498e-07	-7.740234e-02
1.081496447797498e-07	-7.080994e-02
